,count,lat,lon
93,2336,37.0831275,-94.4973709
94,2219,40.6866342,-74.2998548
95,2172,42.5592971,-83.4421921
96,2154,32.9692304,-80.0030101
97,2130,33.5050633,-82.0855247
98,2106,37.6759279,-97.4135002
99,2072,35.0305295,-85.1527548
100,2058,40.0931346,-78.5184181
101,2022,40.4136479,-75.925194
102,1998,40.0937422,-74.9600454
103,1956,41.3956153,-75.6868637
104,1919,32.2584956,-80.853375
105,1890,32.1361307,-111.00064
106,1865,44.8334992,-93.1328
107,1862,31.7167342,-85.840579
108,1814,33.3834279,-86.7400861
109,1807,43.0881214,-87.9058385
110,1714,46.2109321,-119.0533938
111,1686,37.4172556,-77.5042212
112,1647,35.8155995,-90.7361929
113,1594,30.2317641,-97.8235763
114,1566,34.05653,-81.1116114
115,1558,32.4598253,-90.1391637
116,1556,39.6400285,-86.8318176
117,1556,38.0022776,-91.6333687
118,1556,37.1766088,-113.4258431
119,1526,39.8447182,-84.1964463
120,1490,33.6548724,-96.6438062
121,1452,35.7335048,-77.9962889
122,1450,41.0568898,-83.5942903
123,1424,38.3315134,-85.7585371
124,1418,35.3534031,-118.9479876
125,1406,26.1930218,-98.2871148
126,1352,27.4846976,-82.5548377
127,1350,41.7143928,-86.1806999
128,1338,27.3924657,-80.3279959
129,1337,32.4425818,-93.9291725
130,1240,32.704947,-92.0093715
131,1225,34.793965,-86.7508093
132,1194,47.2931063,-122.3101044
133,1168,35.6065071,-77.4313938
134,1160,37.301234,-79.9602556
135,1146,32.7123397,-114.6525028
136,1130,40.3066117,-88.1797479
137,1128,32.4108696,-81.7686546
138,1128,27.6072157,-99.4947954
139,1116,32.3844659,-86.1848366
140,1104,42.841419,-73.9449266
141,1084,35.3031162,-94.3955924
142,1052,33.4712605,-94.0947607
143,1046,33.1694443,-87.482917
144,1042,36.562551,-82.5684663
145,1032,32.5813508,-83.6961329
146,1030,31.3306582,-92.4053192
147,1006,32.5418163,-84.9492411
148,970,38.6548788,-75.6242643
149,968,36.1889414,-82.7594664
150,956,34.4545,-93.0591452
151,926,35.4610348,-82.5610542
152,910,34.6324832,-98.4697604
153,890,26.1490121,-81.6897952
154,880,41.1760097,-111.9994612
155,876,38.2321668,-104.6633019
156,868,44.8841822,-91.423223
157,838,36.8510306,-89.5912957
158,832,35.8224215,-84.2641035
159,812,42.0318903,-91.6833604
160,810,35.1903619,-101.7934041
161,810,32.2738087,-95.3104
162,804,37.7339431,-85.8823601
163,800,31.4254045,-100.438385
164,788,32.5559237,-94.7975789
165,770,35.7191513,-81.3468634
166,764,42.9108327,-78.7432975
167,752,29.8096354,-90.8198604
168,748,42.6736867,-83.0102337
169,728,36.9688055,-81.016148
170,726,39.0218902,-77.4260054
171,710,42.9990077,-83.764261
172,710,32.3556697,-88.6841619
173,698,37.3048496,-89.548595
174,688,38.9125764,-92.323823
175,688,36.2070565,-83.3160652
176,680,44.1018176,-103.1963395
177,680,38.3444846,-121.9954491
178,680,33.4906948,-101.9019
179,676,35.4146587,-77.9392355
180,674,32.4108989,-99.7810826
181,670,33.9594222,-80.3893134
182,660,38.4054351,-78.8632214
183,658,34.1939146,-79.8232255
184,648,39.9776891,-82.0129053
185,635,40.0589288,-80.6061262
186,616,32.3147128,-106.7485306
187,613,39.4046896,-81.4186218
188,600,43.5889006,-116.4032686
189,596,36.7229176,-79.8728585
190,594,36.5978086,-79.4305408
191,590,34.7835393,-77.3966141
192,586,35.2755983,-93.1028327
193,574,34.6117059,-118.145301
194,560,41.5807021,-90.5235296
195,556,37.3229492,-79.2516589
196,556,34.2354047,-118.4488
197,556,31.8266845,-81.6027439
